county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1.0,3.720693,8.620114,0.5518765,0.0,6.2293121,1.0,1.0,1.0,5.0,0.029655889,0.029655889,0.0,0.032226105,0.13634309
3.0,3.2864223,8.243197,0.2851436,0.0,6.387659,1.0,0.0,1.0,6.0,0.020204886,0.020204886,1.0,0.061874594,0.13846693
4.0,2.9252562,7.855632,0.1854893,0.0,6.1456884,1.0,0.0,1.0,1.0,0.087519,0.087519,1.0,0.045317885,0.083889335
5.0,3.804371,7.938538,0.0897225,0.0,6.1407036,1.0,0.0,1.0,6.0,0.23625965,0.25748537,1.0,0.042860475,0.020915974
6.0,2.4256873,7.705569,0.3533379,0.0,6.344339,1.0,0.0,0.0,3.0,0.058502758,0.058502758,0.0,0.05082027,0.20603739
7.0,3.0804869,8.325304,0.2517875,0.0,6.2867898,1.0,0.0,1.0,6.0,0.023213902,0.023213902,1.0,0.021205764,0.11585915
9.0,3.6011405,8.208723,0.5022551,0.0,6.3229512,1.0,0.0,1.0,5.0,0.11103098,0.11103098,1.0,0.066604458,0.19147915
10.0,3.0727396,8.175255,0.0,0.0,6.2355742,1.0,1.0,0.0,6.0,0.13688732,0.13688732,0.0,0.15681021,0.2372476
11.0,3.5920932,8.350468,0.1203496,0.0,6.1992833,1.0,0.0,1.0,7.0,0.033999924,0.054401932,1.0,0.070321586,0.1353496
12.0,2.7652494,7.905241,0.0,0.0,6.1188106,1.0,0.0,0.0,5.0,0.028596488,0.028596488,0.0,0.0,0.11255372
13.0,3.3536165,8.532719,0.2544228,0.0,6.1927248,1.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.059123275
14.0,2.6276352,7.629007,0.0,0.0,6.2573681,1.0,0.0,0.0,4.0,0.050289659,0.10133284,0.0,0.024678239,0.12565506
15.0,2.6454653,7.777243,0.0,0.0,6.2695083,1.0,0.0,0.0,4.0,0.18209533,0.20561549,0.0,0.073592312,0.14653925
16.0,3.7386453,8.714482,0.4407658,0.0,6.3707065,1.0,0.0,1.0,9.0,0.022698596,0.022698596,1.0,0.044841675,0.19976602
17.0,3.9720639,8.730665,0.5312636,0.0,5.9421377,1.0,1.0,1.0,8.0,0.062471824,0.062471824,0.0,0.066733924,0.31024407
18.0,2.6413404,7.458774,0.0,0.0,6.2871834,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.044430736,0.15133128
19.0,2.4497112,6.710155,0.0259793,0.0,6.2406988,1.0,0.0,0.0,2.0,0.050399784,0.082364916,0.0,0.027866439,0.183293
20.0,3.622526,8.474833,0.2797162,0.0,6.3455343,1.0,0.0,1.0,11.0,0.024416575,0.024416575,1.0,0.023428599,0.15218131
21.0,2.6169578,7.853329,0.0,0.0,6.3199673,1.0,0.0,0.0,4.0,0.028832851,0.028832851,0.0,0.021598068,0.17455197
23.0,3.8938794,7.848029,0.4445236,0.0,6.3988916,1.0,1.0,1.0,6.0,0.037997881,0.037997881,0.0,0.020190785,0.16377534
24.0,3.8524641,8.408071,0.5343471,0.0,6.2011433,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.032226105,0.12359939
25.0,4.0544423,8.217999,0.1168777,0.0,6.2028247,1.0,1.0,1.0,11.0,0.13479048,0.13479048,0.0,0.11539409,0.14179924
26.0,4.0999952,8.027752,0.3805599,0.0,6.2729919,1.0,0.0,1.0,9.0,0.060018232,0.060018232,1.0,0.033772906,0.15146444
27.0,3.6006492,8.521351,0.3861082,0.0,6.2984909,1.0,1.0,1.0,11.0,0.099848223,0.099848223,0.0,0.0,0.055145406
29.0,2.8964643,8.248409,0.2134631,0.0,6.0185703,1.0,0.0,1.0,4.0,0.089138086,0.089138086,1.0,0.022425599,0.12711936
30.0,3.387977,8.264082,0.2806585,0.0,5.9527172,1.0,0.0,1.0,8.0,0.029216898,0.049670431,1.0,0.052739561,0.27196135
31.0,3.2126565,7.908513,0.1278528,0.0,6.4048758,1.0,0.0,1.0,9.0,0.031455678,0.031455678,1.0,0.061300837,0.2056689
32.0,2.2956612,7.584025,0.0,0.0,6.0690645,1.0,0.0,0.0,3.0,0.025719997,0.025719997,0.0,0.0,0.087339212
33.0,2.799839,7.601493,0.1501309,0.0,6.112991,1.0,0.0,0.0,3.0,0.02682383,0.02682383,0.0,0.023742563,0.10976391
34.0,2.753597,8.118744,0.0,0.0,6.4221106,1.0,0.0,0.0,4.0,0.039170613,0.039170613,0.0,0.063878533,0.16895387
36.0,3.9260048,8.211699,0.2330045,0.0,6.167103,1.0,1.0,1.0,8.0,0.062028552,0.062028552,0.0,0.10684772,0.19602365
38.0,2.7698976,7.83969,0.0,0.0,5.9692685,1.0,0.0,0.0,5.0,0.042892203,0.063357173,0.0,0.034425965,0.27310497
40.0,3.5048965,7.68815,0.0745338,0.0,6.0190043,1.0,0.0,1.0,7.0,0.13757119,0.13757119,1.0,0.089596794,0.20477107
42.0,4.1130845,8.324471,0.32907,0.0,6.0466104,1.0,1.0,1.0,10.0,0.14680958,0.14680958,0.0,0.048431227,0.17411261
43.0,2.5553651,7.426208,0.0,0.0,6.2584654,1.0,0.0,0.0,1.0,0.038312071,0.038312071,0.0,0.071140666,0.17201603
44.0,3.1387064,7.455979,0.4980294,0.0,6.3279332,1.0,0.0,1.0,1.0,0.09273728,0.09273728,1.0,0.032816028,0.16898733
46.0,3.1573408,8.243514,0.291761,0.0,6.142513,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.024872129,0.079959042
47.0,3.4312092,8.125062,0.0045172,0.0,5.9681793,1.0,0.0,1.0,8.0,0.024527703,0.045942988,1.0,0.025028641,0.26713177
50.0,3.1841601,8.388732,0.2157951,0.0,6.2452389,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.031716807,0.089614036
53.0,2.5340936,7.35758,0.0,0.0,6.1572991,1.0,0.0,0.0,4.0,0.021348366,0.021348366,0.0,0.067684088,0.15801702
54.0,3.0419477,8.264731,0.0,0.0,6.0142407,1.0,0.0,0.0,9.0,0.030863699,0.030863699,0.0,0.040802549,0.15202049
55.0,3.3513066,8.491241,0.4020604,0.0,6.3458728,1.0,0.0,1.0,6.0,0.030451677,0.030451677,1.0,0.030702524,0.18390414
56.0,2.9938305,7.933452,0.217739,0.0,6.2955875,1.0,0.0,1.0,3.0,0.124857,0.14883341,1.0,0.032753657,0.12554325
57.0,3.9266554,7.944345,0.6410282,0.0,6.3782669,1.0,1.0,1.0,4.0,0.084322869,0.084322869,0.0,0.0,0.086549445
58.0,4.1050867,7.930253,0.125668,0.0,6.1837566,1.0,1.0,0.0,9.0,0.17179758,0.21296054,0.0,0.0,0.042860475
60.0,2.766382,7.906608,0.0,0.0,6.068217,1.0,0.0,1.0,4.0,0.03310159,0.03310159,1.0,0.0,0.029827354
62.0,3.6960288,8.215087,0.2474985,0.0,6.2880951,1.0,0.0,1.0,7.0,0.051740807,0.075485429,1.0,0.021632268,0.15849917
65.0,2.8670463,7.520251,0.0,0.0,6.1884696,1.0,0.0,0.0,2.0,0.020125022,0.020125022,0.0,0.0,0.086352011
66.0,2.5993508,7.805761,0.0,0.0,6.2113036,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.038203959,0.15304516
67.0,3.176803,7.900044,0.1622187,0.0,6.0332574,1.0,0.0,1.0,3.0,0.12317106,0.12317106,1.0,0.022115612,0.17413362
70.0,2.7581728,8.023078,0.2771461,0.0,8.09371,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
76.0,3.4110157,8.769013,0.8212041,0.0,7.7640824,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
77.0,3.8671512,8.623128,0.1584593,0.0,8.0003411,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
78.0,2.6891392,8.379105,0.7739524,0.0,8.021111,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
80.0,3.9875015,8.61517,0.3546914,0.0,7.985661,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
81.0,2.1895284,8.287382,0.3214441,0.0,8.1318048,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82.0,1.9772704,8.264668,0.5852404,0.0,8.0556455,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
83.0,1.89687,8.247643,0.4261931,0.0,8.0986638,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
84.0,1.9440513,7.747214,0.0,0.0,7.6989629,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
85.0,2.1382999,8.655039,0.8287493,0.0,7.7707967,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
87.0,1.7712166,8.009205,0.0,0.0,7.9310512,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
88.0,2.3359232,8.501958,0.0,0.0,7.9236861,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
89.0,1.9155982,7.825334,0.0,0.0,8.1268202,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
90.0,1.9312315,8.493901,0.4214542,0.0,7.7255512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,1.8403909,7.699634,0.0,0.0,8.0199493,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
95.0,3.8756702,8.356708,0.5508717,0.0,6.8592318,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
96.0,3.4421794,8.317582,0.4437875,0.0,6.8234373,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,2.2426228,7.226625,0.5021645,0.0,6.777034,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.023889127,0.023889127
98.0,2.6917175,8.921823,0.4366726,0.0,7.0294737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,3.6169268,8.586875,0.6810922,0.0,6.9141975,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
107.0,3.0326908,8.705678,0.6381512,0.0,5.3739664,1.0,0.0,1.0,5.0,0.031624129,0.031624129,1.0,0.023100506,0.1654192
108.0,3.1914224,8.13975,0.494279,0.0,5.5586592,1.0,0.0,1.0,5.0,0.02076269,0.02076269,1.0,0.020999945,0.14864357
109.0,3.5885618,8.54372,0.3262127,0.0,4.6724942,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.21654623
111.0,3.4566006,8.888511,0.3806704,0.0,4.1735517,1.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.21514755
112.0,2.4396477,8.170201,0.4805556,0.0,5.4445043,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.031354868,0.1898003
113.0,1.7402907,7.279545,0.0,0.0,5.3793829,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.057585136,0.17871447
114.0,3.1086591,8.490353,0.2784241,0.0,3.6860976,1.0,0.0,1.0,3.0,0.047425536,0.047425536,1.0,0.0,0.18269957
115.0,2.7224789,8.179657,0.6223702,0.0,5.6017885,1.0,0.0,0.0,7.0,0.049274288,0.049274288,0.0,0.0,0.18842426
116.0,3.0990106,8.478891,0.4486962,0.0,5.1322905,1.0,0.0,1.0,4.0,0.027811286,0.027811286,1.0,0.0,0.1756204
117.0,2.8552626,8.244938,0.3874723,0.0,5.3646256,1.0,0.0,1.0,5.0,0.025186754,0.025186754,1.0,0.042637737,0.26772139
118.0,3.1156464,8.229498,0.2363803,0.0,4.9156599,1.0,0.0,1.0,2.0,0.0,0.030917497,1.0,0.0,0.19760146
119.0,2.1207034,6.535845,0.0,0.0,5.3260332,1.0,0.0,0.0,1.0,0.033484112,0.033484112,0.0,0.0,0.12083878
120.0,3.2289054,8.267137,0.4095614,0.0,5.4108212,1.0,1.0,1.0,1.0,0.023292115,0.023292115,0.0,0.027233686,0.16698271
121.0,2.9933795,8.498179,0.2750787,0.0,4.744372,1.0,0.0,1.0,2.0,0.024704084,0.093929561,1.0,0.043454834,0.15200444
123.0,3.9013462,8.126292,0.4550679,0.0,3.9602911,1.0,0.0,1.0,11.0,0.073451368,0.073451368,1.0,0.0,0.20818722
124.0,3.9023564,8.740602,0.8011639,0.0,5.4578406,1.0,0.0,1.0,8.0,0.097219292,0.097219292,1.0,0.0,0.17911147
125.0,2.9647059,8.335982,0.4168801,0.0,5.3389611,1.0,0.0,1.0,4.0,0.026763339,0.026763339,1.0,0.0,0.1902455
126.0,2.213426,8.368854,0.4540717,0.0,5.2328937,1.0,0.0,1.0,2.0,0.021441333,0.042647633,1.0,0.0,0.13997077
127.0,2.7229388,8.78331,0.6429177,0.0,5.4914457,1.0,0.0,1.0,4.0,0.044368652,0.044368652,1.0,0.0,0.17558799
128.0,2.8680693,8.601487,0.4648294,0.0,5.4743056,1.0,0.0,1.0,3.0,0.040944215,0.040944215,1.0,0.0,0.068067628
130.0,2.8065069,7.893379,0.1580102,0.0,4.1056657,1.0,0.0,1.0,4.0,0.059391307,0.059391307,1.0,0.020644085,0.2662183
131.0,2.3827816,7.133714,0.0911355,0.0,4.9118428,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25394564
133.0,2.749448,7.754911,0.2286808,0.0,5.1682132,1.0,0.0,1.0,1.0,0.086448597,0.12118878,1.0,0.022392511,0.1161815
134.0,3.5681515,8.439447,0.516193,0.0,5.3315021,1.0,0.0,1.0,4.0,0.048785834,0.048785834,1.0,0.023713667,0.25108322
135.0,3.090042,8.24541,0.4468563,0.0,5.2117034,1.0,0.0,1.0,3.0,0.020867319,0.020867319,1.0,0.022852264,0.1931615
136.0,3.3540009,8.05447,0.3045169,0.0,5.062676,1.0,0.0,1.0,4.0,0.068180815,0.10460974,1.0,0.0,0.11145094
137.0,2.6197289,8.294691,0.3312587,0.0,5.0514253,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.2067954
138.0,3.4874974,8.596683,0.3090001,0.0,5.0501393,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.20217829
139.0,2.5669474,8.130885,0.0,0.0,4.8831291,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.28978165
140.0,2.8837387,8.577533,0.3834293,0.0,5.1810749,1.0,0.0,1.0,3.0,0.027555975,0.027555975,1.0,0.0,0.23331057
142.0,3.0538125,8.427651,0.2324305,0.0,4.2401684,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.039354534,0.21349482
143.0,2.1999985,7.328218,0.0,0.0,5.3832374,1.0,0.0,0.0,3.0,0.067240843,0.067240843,0.0,0.044907543,0.24509199
144.0,2.8587091,8.380124,0.3662091,0.0,5.1740277,1.0,0.0,1.0,3.0,0.032392363,0.032392363,1.0,0.0,0.25511774
145.0,2.5425464,7.600007,0.404531,0.0,5.408916,1.0,0.0,0.0,5.0,0.02210044,0.02210044,0.0,0.0,0.25905481
146.0,2.6603994,7.195461,0.0,0.0,5.385094,1.0,0.0,0.0,2.0,0.040735365,0.040735365,0.0,0.0,0.12894891
147.0,2.5820334,8.201494,0.2730408,0.0,5.2065332,1.0,0.0,1.0,2.0,0.048438231,0.048438231,1.0,0.0,0.20913553
148.0,3.053199,8.164506,0.2910255,0.0,4.4245962,1.0,0.0,1.0,4.0,0.03142142,0.03142142,1.0,0.024147336,0.20383432
149.0,3.8950193,8.134714,0.4550239,0.0,5.1519294,1.0,1.0,1.0,7.0,0.070773959,0.11949399,0.0,0.0,0.099349325
150.0,2.5699369,7.729186,0.0,0.0,3.6218592,1.0,0.0,1.0,2.0,0.063025596,0.063025596,1.0,0.0,0.16664448
151.0,2.6702791,7.59625,0.0,0.0,4.4786528,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.21278625
152.0,3.6775657,8.294774,0.581584,0.0,5.3491915,1.0,0.0,1.0,6.0,0.052123242,0.052123242,1.0,0.026034131,0.11886844
153.0,3.9196141,8.406026,0.6581696,0.0,5.4738593,1.0,0.0,1.0,3.0,0.05489605,0.05489605,1.0,0.0,0.2856776
154.0,2.3335991,8.598172,0.3690267,0.0,5.3312869,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.025634191,0.16806423
155.0,2.1418293,7.332025,0.0,0.0,4.8555335,1.0,0.0,0.0,3.0,0.034602708,0.034602708,0.0,0.0,0.18602379
156.0,2.3079706,7.738443,0.3029633,0.0,5.260252,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03169648,0.24292131
157.0,2.1036462,7.047731,0.0,0.0,4.1698836,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.029190808,0.23393076
158.0,3.3315257,8.392211,0.4254602,0.0,5.3251457,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.060354132,0.1440655
159.0,2.2433657,7.133175,0.0,0.0,4.8010083,1.0,0.0,0.0,1.0,0.061549112,0.12826782,0.0,0.028552528,0.16848575
160.0,3.3183229,8.350365,0.5286444,0.0,5.4518604,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.1871916
161.0,2.3489915,8.371761,0.0,0.0,5.0371279,1.0,0.0,0.0,8.0,0.024922985,0.024922985,0.0,0.0,0.21802431
162.0,3.2006711,8.005095,0.362458,0.0,5.3376025,1.0,0.0,1.0,5.0,0.057364041,0.057364041,1.0,0.0,0.21711535
163.0,2.9702093,8.262986,0.2583914,0.0,4.8589973,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.14950922
164.0,3.9368912,8.717163,0.4175586,0.0,4.523475,1.0,1.0,1.0,9.0,0.0,0.022403678,0.0,0.0,0.18703216
165.0,2.2285079,7.806636,0.0,0.0,5.2169186,1.0,0.0,0.0,4.0,0.045962657,0.066237476,0.0,0.052138699,0.1955283
167.0,2.8721512,8.12763,0.3163506,0.0,5.192674,1.0,0.0,1.0,2.0,0.023875512,0.023875512,1.0,0.023110986,0.19946165
168.0,3.3454732,8.647075,0.4870947,0.0,5.3809447,1.0,0.0,1.0,4.0,0.042853602,0.042853602,1.0,0.0,0.18696243
170.0,2.3843494,7.793129,0.2715533,0.0,4.6338538,1.0,0.0,1.0,1.0,0.037828501,0.037828501,1.0,0.0,0.14235744
171.0,2.0506562,7.832343,0.0,0.0,4.5173528,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.026622988,0.26349634
173.0,2.6759401,8.217447,0.3698039,0.0,5.0865359,1.0,0.0,1.0,2.0,0.025193629,0.025193629,1.0,0.0,0.20149818
174.0,2.8123502,8.346318,0.1749518,0.0,5.0459767,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.23140855
175.0,2.3943435,8.234206,0.0,0.0,4.8049395,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.20904753
176.0,3.812048,8.63536,0.4853492,0.0,5.4748874,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.027233686,0.1703748
177.0,2.7441892,7.96271,0.0,0.0,4.7053159,1.0,0.0,1.0,7.0,0.0,0.031485616,1.0,0.032733222,0.20691743
179.0,4.1449901,8.521991,0.443609,0.0,5.0727189,1.0,0.0,1.0,10.0,0.021572841,0.050862822,1.0,0.028222116,0.16305895
180.0,2.1932166,7.771504,0.0,0.0,5.2315534,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.021226019,0.23563294
181.0,2.9472771,8.021641,0.1840674,0.0,4.6473576,1.0,0.0,1.0,4.0,0.030592332,0.051384585,1.0,0.026698153,0.16641955
184.0,3.5092443,9.088755,0.37849,0.0,7.2814056,0.0,1.0,1.0,3.0,0.11214661,0.070336513,0.0,0.0,0.020597962
186.0,3.6672472,7.676098,0.1800069,0.0,7.2780822,0.0,0.0,0.0,5.0,0.070024803,0.044584226,0.0,0.057735444,0.085890151
187.0,2.9137084,8.322598,0.5106892,0.0,7.3371882,0.0,0.0,0.0,0.0,0.10104799,0.053350068,0.0,0.034620034,0.088767807
189.0,3.3027021,7.944748,0.6838986,0.0,7.3963715,0.0,1.0,1.0,1.0,0.0,0.020939556,0.0,0.0,0.0
192.0,3.2662936,7.762619,0.5664764,0.0,7.3422813,0.0,0.0,1.0,0.0,0.023448402,0.023448402,1.0,0.024942653,0.051318541
195.0,2.9054246,8.671613,0.5772638,0.0,7.1616049,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
198.0,4.0044563,8.164331,0.5543741,0.0,7.3555299,0.0,1.0,1.0,2.0,0.068951649,0.047699997,0.0,0.0,0.024942653
199.0,3.5095135,7.995166,0.4132967,0.0,7.279343,0.0,0.0,1.0,3.0,0.021329393,0.021329393,1.0,0.0,0.0
203.0,2.7446392,7.739566,0.0,0.0,7.2556202,0.0,0.0,0.0,1.0,0.0,0.038405327,0.0,0.0,0.032755652
206.0,2.2620755,7.707089,0.2996084,0.0,7.2878882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.0,2.3427669,8.52267,0.4512565,0.0,7.2137919,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
213.0,3.0169555,8.265934,0.1261045,0.0,7.2873445,0.0,0.0,0.0,1.0,0.041629179,0.021230542,0.0,0.0,0.021555248
216.0,3.8424371,8.215627,0.7738851,0.0,7.3047594,0.0,1.0,0.0,1.0,0.057093811,0.057093811,0.0,0.0,0.0
228.0,3.7901717,8.189887,0.3508724,0.0,7.3498512,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0
233.0,3.9855708,8.336761,0.5097343,0.0,7.3368751,0.0,0.0,1.0,4.0,0.043692023,0.043692023,1.0,0.0,0.026375889
234.0,2.5773339,7.518857,0.0,0.0,7.3672343,0.0,0.0,0.0,3.0,0.023955399,0.0,0.0,0.0,0.0
236.0,3.9577227,8.310045,0.53377,0.0,7.255551,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.020597962,0.020597962
239.0,4.0969079,7.837368,0.6994802,0.0,7.3058446,0.0,0.0,1.0,3.0,0.15458418,0.10224733,1.0,0.0,0.0
241.0,2.6713171,8.882314,0.6172658,1.0,6.4652555,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
243.0,2.1425337,8.291948,0.364114,1.0,6.5665105,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022601608,0.0
245.0,1.6889882,7.19751,0.5765255,1.0,6.2120372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.026909271,0.028684842
